  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
1,1JANATAMF,4.9,4.9,4.8,4.8,5,-0.1,75,0.878,"181,417"
2,1STICB,0,0,0,"1,091.80","1,091.80",--,0,0,0
3,1STPRIMFMF,13.4,13.4,12.2,13.4,12.2,1.2,292,4.651,"356,869"
4,2NDICB,0,0,0,282,282,--,0,0,0
5,3RDICB,0,0,0,235,235,--,0,0,0
6,4THICB,0,0,0,205,205,--,0,0,0
7,5THICB,0,0,0,188,188,--,0,0,0
8,6THICB,58.1,58.1,57,57.5,57.7,0.4,11,0.276,"4,800"
9,7THICB,81,87.9,81,81.2,81.2,-0.2,4,0.05,610
10,8THICB,0,0,0,66.5,66.5,--,0,0,0
11,AAMRATECH,37.3,38.3,37.2,37.4,37.9,-0.6,479,18.87,"503,776"
12,ABB1STMF,5.9,5.9,5.9,5.9,6,-0.1,5,0.037,"6,237"
13,ABBANK,27,28.3,26.7,26.8,27.7,-0.7,540,31.7,"1,165,710"
14,ACI,418,426.2,417,417.9,422.2,-4.2,727,38.962,"92,774"
15,ACIFORMULA,133,137,132.8,133.1,134.6,-1.6,472,15.481,"115,693"
16,ACTIVEFINE,65.9,66.5,65.7,66.2,65.8,0.1,124,5.688,"86,185"
17,AFCAGRO,45.9,46.2,44.8,45.8,45.1,0.8,65,1.78,"38,851"
18,AFTABAUTO,60.3,61.5,60.1,60.3,60.8,-0.5,255,3.719,"61,430"
19,AGNISYSL,30.2,31.2,30.1,30.3,30.5,-0.3,479,17.454,"575,880"
20,AGRANINS,17.8,17.9,17.6,17.8,17.5,0.3,31,0.186,"10,490"
21,AIBL1STIMF,4.5,4.6,4.4,4.5,4.6,-0.1,40,0.848,"189,000"
22,AIMS1STMF,28,28.1,27.9,28,27.9,0.1,48,2.466,"88,209"
23,AL-HAJTEX,102.6,105,100.3,102.4,100,2.6,"1,379",26.286,"255,001"
24,ALARABANK,15.6,15.7,15,15.5,15.4,0.2,417,16.06,"1,040,444"
25,ALLTEX,23.3,24.1,23.2,23.3,23.8,-0.5,676,13.15,"556,615"
26,AMBEEPHA,285.2,294.8,284.6,285.4,289.7,-4.5,144,3.556,"12,389"
27,AMCL(PRAN),205.2,211,205.2,207.8,210.6,-5.4,135,2.154,"10,325"
28,ANLIMAYARN,19,19.5,19,19,19.2,-0.2,48,0.709,"37,254"
29,ANWARGALV,34,34.1,33.6,33.9,34,0,84,1.569,"46,360"
30,APEXFOODS,97.3,100,97.3,98,98.8,-1.5,97,1.158,"11,793"
31,APEXFOOT,410.1,420,406.2,408.4,409.2,0.9,153,7.773,"18,902"
32,APEXSPINN,71.3,71.7,70,70.2,69.9,1.4,208,2.586,"36,536"
33,APEXTANRY,127.1,130,126.6,127.8,129.2,-2.1,75,1.664,"13,039"
34,APOLOISPAT,16.2,16.5,16.2,16.2,16.3,-0.1,359,6.143,"377,231"
35,ARAMIT,282.4,284,276,276.6,276.4,6,40,0.69,"2,490"
36,ARAMITCEM,31.3,31.7,31.3,31.4,31.5,-0.2,19,0.283,"9,000"
37,ARGONDENIM,34,34.2,33.8,34,33.9,0.1,99,2.297,"67,566"
38,ASIAINS,19.4,19.5,18.9,19.4,19.3,0.1,20,0.175,"9,044"
39,ASIAPACINS,17.5,17.8,17.5,17.5,17.4,0.1,6,0.099,"5,670"
40,ATLASBANG,130.1,132,128.3,131.8,128.8,1.3,52,0.364,"2,793"
41,AZIZPIPES,20.2,20.2,20.2,20.2,20,0.2,1,0.002,100
42,BANGAS,356,365,355,357.5,354.2,1.8,"1,334",46.901,"130,388"
43,BANKASIA,17.6,17.7,17.4,17.5,17.7,-0.1,99,3.035,"172,488"
44,BATASHOE,"1,330","1,330","1,305","1,310.40","1,313.50",16.5,33,2.148,"1,642"
45,BATBC,0,0,0,"3,017.30","3,017.30",--,0,0,0
46,BAYLEASING,26.5,27.1,26.5,26.7,27,-0.5,80,2.368,"87,930"
47,BBS,42.5,43.7,42.1,42.5,43.5,-1,504,27.047,"632,923"
48,BDAUTOCA,20.5,20.6,20.5,20.6,20.6,-0.1,10,0.074,"3,601"
49,BDCOM,24.6,25,24.3,24.4,24.7,-0.1,201,4.49,"183,287"
50,BDFINANCE,13.5,13.8,12.6,13.5,13.6,-0.1,138,2.098,"159,445"
51,BDLAMPS,115.5,115.8,112.1,114.6,113.3,2.2,48,0.585,"5,124"
52,BDSERVICE,0,0,0,6.3,6.3,--,0,0,0
53,BDTHAI,38.3,38.5,37.5,38.1,38.1,0.2,279,8.985,"236,331"
54,BDWELDING,15.6,16.3,15.5,15.7,16,-0.4,87,1.662,"105,337"
55,BEACHHATCH,20.9,21,20.7,20.9,20.8,0.1,120,2.247,"107,612"
56,BEACONPHAR,14.8,15.5,14.8,14.9,15.1,-0.3,194,3.44,"230,817"
57,BEDL,31.4,31.6,31.1,31.3,31.4,0,214,6.895,"220,127"
58,BENGALWTL,58,58.4,57.2,57.7,57.7,0.3,69,2.915,"50,750"
59,BERGERPBL,"1,485","1,495","1,478","1,484.80","1,472",13,39,1.715,"1,154"
60,BEXIMCO,31.8,32.3,31.4,31.5,31.8,0,"1,217",33.567,"1,062,379"
61,BGIC,19.1,19.6,19,19.1,19.2,-0.1,54,0.353,"18,391"
62,BIFC,13.9,14,13.7,13.8,13.9,0,72,1.289,"93,234"
63,BRACBANK,35.5,36,35,35.3,36,-0.5,205,15.061,"425,833"
64,BSC,438.5,447,437.5,438.9,432.8,5.7,787,10.994,"24,846"
65,BSCCL,134.3,137.7,134,134.3,136.6,-2.3,"1,562",49.454,"365,985"
66,BSRMSTEEL,71.1,72,71.1,71.3,71.3,-0.2,247,8.7,"121,641"
67,BXPHARMA,56.3,57,56.2,56.5,56.7,-0.4,396,13.7,"242,220"
