  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
1,1JANATAMF,4,4,4,4,4,0,26,0.08,"19,511"
2,1STICB,0,0,0,"1,104","1,104",--,0,0,0
3,1STPRIMFMF,11,11,11,11,11.6,-0.2,35,0.258,"22,792"
4,2NDICB,0,0,0,262.2,262.2,--,0,0,0
5,3RDICB,0,0,0,227,227,--,0,0,0
6,4THICB,0,0,0,195.3,195.3,--,0,0,0
7,5THICB,0,0,0,180,180,--,0,0,0
8,6THICB,56.1,56.1,56.1,56.1,55.9,0.2,8,0.152,2701
9,7THICB,0,0,0,84.9,84.9,--,0,0,0
10,8THICB,63,63,63,63,63,0,3,0.05,800
11,AAMRATECH,33.3,34.9,33,33.2,34,-0.7,628,20.388,"610,151"
12,ABB1STMF,5.1,5.3,4.9,5.1,5.4,-0.3,5,0.034,"6,632"
13,ABBANK,20.6,21.5,20.3,20.5,21.1,-0.5,504,18.743,"904,191"
14,ACI,554,563.8,546,553.4,559.9,-5.9,"1,875",135.173,"244,159"
15,ACIFORMULA,144.9,149.8,144.1,145.2,147.9,-3,"1,047",29.456,"201,745"
16,ACTIVEFINE,59,61,59,59.1,60.4,-1.4,325,20.176,"341,027"
17,AFCAGRO,38.5,39.3,37.8,38.1,39.2,-0.7,102,2.42,"63,017"
18,AFTABAUTO,50.7,51.9,50.4,50.6,51.8,-1.1,222,3.036,"59,927"
19,AGNISYSL,29.8,30.4,29.6,29.7,30.2,-0.4,654,26.332,"881,687"
20,AGRANINS,14.5,14.7,14.2,14.3,14.9,-0.4,6,0.015,"1,062"
21,AIBL1STIMF,0,0,0,4.1,4.1,--,0,0,0
22,AIMS1STMF,25,25.4,25,25,25,0.2,7,0.111,"4,435"
23,AL-HAJTEX,84,87,83.9,84.4,87.3,-3.3,544,7.262,"85,161"
24,ALARABANK,11.9,12.1,11.8,11.9,11.9,0,116,1.257,"105,584"
25,ALLTEX,23.2,23.6,22.4,22.9,22.4,0.8,941,24.839,"1,081,400"
26,AMBEEPHA,305,312,300,302.2,307.2,-2.2,150,3.789,"12,489"
27,AMCL(PRAN),203,208.3,201,201.7,207.7,-4.7,90,1.793,"8,875"
28,ANLIMAYARN,16.2,16.3,16,16.2,16.4,-0.2,19,0.246,"15,200"
29,ANWARGALV,35.5,36.3,35.1,35.3,36,-0.5,122,2.281,"64,402"
30,APEXFOODS,93,93,90,90.5,91,1.5,5,0.04,437
31,APEXFOOT,377,377,367,372.4,384.6,-7.7,100,4.022,"10,808"
32,APEXSPINN,68.2,69.8,68.1,68.4,68.6,-0.4,94,0.935,"13,648"
33,APEXTANRY,111,114.7,110.4,111.1,115.8,-4.8,164,3.301,"29,370"
34,APOLOISPAT,13.7,13.8,13,13.7,13.1,0.6,756,13.81,"1,030,178"
35,ARAMIT,273,273,267.2,271.6,272.4,0.6,13,0.332,"1,222"
36,ARAMITCEM,23.5,23.5,23,23.1,23.2,0.3,18,0.107,"4,633"
37,ARGONDENIM,29.8,30.1,29,29.9,29.9,-0.1,133,4.019,"136,132"
38,ASIAINS,14.5,15,13.7,13.9,14.7,-0.2,36,0.332,"23,700"
39,ASIAPACINS,13.8,13.8,13.2,13.7,13.4,0.4,22,0.447,"32,800"
40,ATCSLGF,6.2,6.4,6,6.2,6.2,0,106,0.536,"87,040"
41,ATLASBANG,123,125.1,123,123.5,125.4,-2.4,35,0.408,"3,293"
42,AZIZPIPES,17.9,17.9,17,17.1,18,-0.1,4,0.008,464
43,BANGAS,384.9,385,367,381,366.4,18.5,1721,62.684,"166,238"
44,BANKASIA,13,14,13,13.3,13.4,-0.1,42,0.975,"73,121"
45,BARKAPOWER,30,30,29,30.1,29.9,0.4,326,13.452,"451,263"
46,BATASHOE,"1,303","1,310","1,295.00","1,300","1,316.60",-13.6,53,1.293,992
47,BATBC,"2,960.00","3,000","2,950","2,974.40","2,999.00",-39,23,1.033,347
48,BAYLEASING,24,24.4,22.6,23.6,24,0,85,1.727,"73,785"
49,BBS,39.6,40.8,38.8,39.4,40.3,-0.7,411,15.663,"397,948"
50,BDAUTOCA,17.9,17.9,17.9,17.9,17.2,0.7,1,0,5
51,BDCOM,23.1,23.6,22.9,23,23.5,-0.4,186,3.137,"135,457"
52,BDFINANCE,10.8,11,10.8,10.8,10.9,-0.1,101,0.782,"72,137"
53,BDLAMPS,105.7,106.9,105.2,105.5,106.5,-0.8,130,2.13,"20,177"
54,BDSERVICE,0,0,0,6.3,6.3,--,0,0,0
55,BDTHAI,37.1,37.1,34,37,33.8,3.3,"1,202",32.334,"888,152"
56,BDWELDING,16,16.5,15.5,16.3,15.8,0.6,178,2.548,"157,683"
57,BEACHHATCH,17.9,18.9,17.6,17.8,18.3,-0.4,440,7.941,"435,530"
58,BEACONPHAR,14.2,14.7,14,14.2,14.6,-0.4,239,3.037,"213,810"
59,BENGALWTL,55.8,56,55,55.6,55.7,0.1,71,1.108,"19,935"
60,BERGERPBL,"1,483","1,491","1,475","1,483.00","1,541.40",-58.9,22,0.786,530
61,BEXIMCO,29.7,31,29.6,29.7,30.3,-0.6,"1,556",37.196,"1,242,548"
62,BGIC,14.3,14.8,13.9,14.2,14.9,-0.6,64,0.662,"46,612"
63,BIFC,10.4,10.7,10.3,10.4,10.7,-0.3,56,0.832,"79,449"
64,BRACBANK,35.9,36.3,35.8,36,36,-0.1,83,5.946,"165,193"
65,BSC,338,355,338,341,353,-14.9,520,4.134,"12,020"
66,BSCCL,113.6,117.9,113,113.9,117,-3.4,817,18.587,"162,561"
67,BSRMSTEEL,0,0,0,64.5,64.5,--,0,0,0
68,BXPHARMA,49.9,52.4,49,50,52.1,-2.2,1178,50.817,"1,011,233"
69,BXSYNTH,8.9,9.2,8.9,8.9,9.1,-0.2,40,0.516,"57,300"
70,CENTRALINS,19.9,19.9,19.5,19.7,19.7,0.2,31,0.623,"31,642"
71,CENTRALPHL,24.2,24.5,23.5,23.8,24.3,-0.1,305,6.541,"272,611"
72,CITYBANK,15.8,16.1,15.5,15.7,16,-0.2,349,12.227,"778,425"
73,CITYGENINS,12.8,13,11.8,12.8,12.6,0.2,55,0.332,"26,883"
74,CMCKAMAL,14,14.4,13.9,14,14.4,-0.4,138,1.636,"115,530"
75,CNATEX,17.5,17.5,17.1,17.4,17.4,0.1,406,12.336,"711,889"
76,CONFIDCEM,79,82,78.6,79.1,81,-2,348,6.759,"84,409"
77,CONTININS,13.2,13.2,12.4,12.9,13.1,0.1,51,0.6,"46,918"
78,CVOPRL,372,390,372,372.8,384.1,-12.1,1284,27.321,"72,170"
79,DACCADYE,11.3,11.4,11.1,11.3,11.1,0.2,87,0.786,"70,153"
80,DAFODILCOM,11.8,12,11.4,11.8,12,-0.2,12,0.053,"4,531"
81,DBH,74.1,74.2,74.1,74.1,75.1,-1,9,0.558,"7,532"
82,DBH1STMF,4,4,4,3.8,3.9,-0.1,10,0.08,"21,000"
83,DELTALIFE,135.5,137.9,135,135,136,-0.9,529,13.005,"95,929"
84,DELTASPINN,9.9,10.1,9.8,9.9,10,-0.1,283,4.747,"478,209"
85,DESCO,60.3,62,60.1,60.9,61.9,-1.6,449,15.492,"254,014"
86,DESHBANDHU,16.6,16.6,15.7,16.4,16,0.6,424,8.279,"512,178"
87,DHAKABANK,18.1,18.1,17.8,18,18,0.4,97,1.442,"79,989"
