  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
1,1JANATAMF,4.5,4.6,4.5,4.6,4.6,-0.1,62,0.413,"91,511"
2,1STICB,0,0,0,"1,075","1,075",--,0,0,0
3,1STPRIMFMF,12.4,12.5,12.4,12.5,12.4,0,27,0.351,"28,173"
4,2NDICB,267,267,267,267,265,2,1,0.027,100
5,3RDICB,227,227,227,227,225.9,1.1,1,0.007,30
6,4THICB,201,201,201,201,197,4,6,0.02,100
7,5THICB,180,180,180,180,180,0,4,0.036,200
8,6THICB,57.3,57.3,57,57.1,58,-0.7,18,0.274,"4,800"
9,7THICB,90,90,90,90,82.5,7.5,3,0.045,500
10,8THICB,0,0,0,63.7,63.7,--,0,0,0
11,AAMRATECH,36.9,37.6,36.8,36.9,37.3,-0.4,421,12.886,"347,592"
12,ABB1STMF,5.5,5.6,5.5,5.6,6,-0.5,2,0.01,"1,820"
13,ABBANK,22.8,23.1,22.7,22.8,23,-0.2,372,15.504,"679,742"
14,ACI,516.5,524,512.3,516.2,518.3,-1.8,"1,594",99.702,"192,561"
15,ACIFORMULA,148.2,154,148,149,151.7,-3.5,"1,449",68.904,"457,509"
16,ACTIVEFINE,62,63.9,62,62.7,64,-2,260,7.645,"121,290"
17,AFCAGRO,43,43.2,42.7,42.8,43.5,-0.5,57,2.757,"64,200"
18,AFTABAUTO,54.6,55.9,54.5,54.7,55.3,-0.7,324,5.625,"102,603"
19,AGNISYSL,31.5,31.9,30.8,31.2,31.6,-0.1,"1,138",57.137,"1,834,218"
20,AGRANINS,15.7,15.9,15.5,15.8,15.4,0.3,24,0.456,"28,910"
21,AIBL1STIMF,4.4,4.5,4.3,4.5,4.3,0.1,12,0.112,"25,220"
22,AIMS1STMF,26.5,27.3,26.5,27,27,-0.5,108,8.389,"312,877"
23,AL-HAJTEX,94.1,95.6,92.9,93.8,95.1,-1,475,8.272,"88,052"
24,ALARABANK,12.3,12.4,12.1,12.3,12.2,0.1,208,6.001,"491,632"
25,ALLTEX,22.8,23.6,22.8,22.9,23,-0.2,351,8.864,"384,685"
26,AMBEEPHA,324,333,320,322.2,328.9,-4.9,148,3.514,"10,755"
27,AMCL(PRAN),200.7,204,198.7,200.2,201.1,-0.4,69,1.546,"7,734"
28,ANLIMAYARN,17.6,18.2,17.6,17.7,17.9,-0.3,21,0.114,"6,458"
29,ANWARGALV,37,38,36.8,36.9,37.5,-0.5,184,2.598,"70,225"
30,APEXFOODS,95.6,97.8,95.1,96.2,96.1,-0.5,60,1.162,"12,110"
31,APEXFOOT,385.3,393.4,382.7,386,389.8,-4.5,128,4.263,"11,080"
32,APEXSPINN,69.8,69.8,68.9,69.3,69.5,0.3,63,0.915,"13,220"
33,APEXTANRY,121.4,121.4,118,118.3,120.1,1.3,214,5.052,"42,527"
34,APOLOISPAT,14.7,14.9,14.7,14.8,14.8,-0.1,247,3.791,"257,196"
35,ARAMIT,285,294.8,285,290.4,291.8,-6.8,44,0.781,"2,679"
36,ARAMITCEM,26.1,27,26.1,26.7,27.5,-1.4,59,0.436,"16,308"
37,ARGONDENIM,31.2,32,30.9,31.4,31.1,0.1,195,5.968,"191,577"
38,ASIAINS,17.6,17.8,17.1,17.4,17.2,0.4,37,0.288,"16,551"
39,ASIAPACINS,15.3,15.3,15.1,15.2,15.2,0.1,15,0.117,"7,700"
40,ATCSLGF,6.8,6.9,6.6,6.8,6.9,-0.1,475,2.797,"412,430"
41,ATLASBANG,128,129,127.7,128,129.4,-1.4,75,1.002,"7,822"
42,AZIZPIPES,19.7,19.9,19.7,19.8,19.9,-0.2,59,0.278,"14,017"
43,BANGAS,356.5,363,353.1,358.7,353.7,2.8,864,22.466,"62,617"
44,BANKASIA,13.3,13.6,13.2,13.3,13.3,0,69,0.97,"72,764"
45,BATASHOE,"1,374.50","1,374.50","1,340.20","1,349.40","1,352.90",21.6,64,2.153,"1,601"
46,BATBC,"3,047","3,098.90","3,046.30","3,054.90","3,099.30",-52.3,212,17.95,"5,874"
47,BAYLEASING,25.3,26.3,25.3,25.6,26.1,-0.8,128,2.807,"108,965"
48,BBS,43.1,43.6,42.9,43.1,43.7,-0.6,278,11.353,"262,553"
49,BDAUTOCA,17.3,17.8,17.2,17.4,18.3,-1,40,0.119,"6,812"
50,BDCOM,24.6,25.4,24.6,24.7,24.9,-0.3,185,6.147,"246,575"
51,BDFINANCE,12.1,12.2,12,12.1,12.1,0,116,1.437,"119,136"
52,BDLAMPS,113.6,114.9,111,112.6,113.3,0.3,131,1.344,"11,976"
53,BDSERVICE,0,0,0,6.3,6.3,--,0,0,0
54,BDTHAI,34.5,35.5,34.3,34.5,34.9,-0.4,221,3.99,"114,917"
55,BDWELDING,15,15.4,14.8,14.9,15.4,-0.4,85,1.08,"71,876"
56,BEACHHATCH,18.2,18.8,18,18.1,18.7,-0.5,216,3.186,"174,143"
57,BEACONPHAR,14.4,14.6,14.4,14.5,14.5,-0.1,94,3.149,"217,308"
58,BEDL,31.3,31.9,31.2,31.4,31.6,-0.3,324,12.651,"402,094"
59,BENGALWTL,58.5,58.6,57.1,58.3,58.1,0.4,148,6.36,"109,877"
60,BERGERPBL,"1,622","1,659","1,622","1,623.40","1,641.20",-19.2,88,2.973,"1,824"
61,BEXIMCO,32.5,33,32.3,32.5,32.8,-0.3,"1,196",39.096,"1,200,345"
62,BGIC,16.1,16.3,16.1,16.2,16.1,0,59,0.459,"28,334"
63,BIFC,11.7,11.9,11.6,11.7,11.8,-0.1,41,0.537,"45,817"
64,BRACBANK,35.6,35.6,34.8,35.5,35,0.6,197,19.035,"542,322"
65,BSC,366,379.1,366,368.7,380.2,-14.2,675,5.112,"13,743"
66,BSCCL,120,122.8,119.8,120.2,121.8,-1.8,851,24.133,"199,827"
67,BSRMSTEEL,66.4,68.5,66.1,66.4,67.8,-1.4,432,15.731,"235,530"
68,BXPHARMA,56.1,56.8,55.8,56.1,56.5,-0.4,491,21.275,"378,899"
69,BXSYNTH,10.1,10.3,10.1,10.2,10.2,-0.1,46,0.555,"54,529"
70,CENTRALINS,20,20,19.7,19.7,20,0,5,0.004,202
71,CENTRALPHL,25.8,26.2,25.6,25.8,26.1,-0.3,212,6.799,"262,914"
72,CITYBANK,16.8,17,16.6,16.9,16.8,0,688,6.711,"398,982"
73,CITYGENINS,13.5,13.8,13.5,13.7,13.8,-0.3,32,0.289,"21,177"
74,CMCKAMAL,15.4,15.7,15.4,15.5,15.5,-0.1,144,3.905,"250,468"
75,CNATEX,17.2,17.4,17,17.1,17.2,0,231,6.844,"399,872"
