  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
1,1JANATAMF,4.1,4.1,4,4.1,4.1,0,29,0.114,"28,108"
2,1STICB,0,0,0,"1,005.20","1,005.20",--,0,0,0
3,1STPRIMFMF,10.2,10.2,9.2,10.1,9.3,0.9,251,2.592,"260,235"
4,2NDICB,0,0,0,260.4,260.4,--,0,0,0
5,3RDICB,205,205,205,205,200,5,1,0.004,20
6,4THICB,175.8,178,175.8,175.8,175.8,0,2,0.088,500
7,5THICB,180,180,175,177.5,172.7,7.3,3,0.071,400
8,6THICB,56.9,56.9,56,56.8,55.2,1.7,10,0.21,"3,700"
9,7THICB,0,0,0,77,77,--,0,0,0
10,8THICB,61.7,61.7,61.7,61.7,61,0.7,10,0.012,200
11,AAMRATECH,28.5,29,27.6,28.5,27.5,1,565,10.934,"385,589"
12,ABB1STMF,4.8,5,4.8,4.9,4.6,0.2,25,0.637,"129,765"
13,ABBANK,18.5,18.8,18,18.3,18.1,0.4,282,6.745,"369,896"
14,ACI,550,561,539,541.3,553.1,-3.1,"2,465",166.023,"303,036"
15,ACIFORMULA,194.5,194.8,181.7,190.5,185.2,9.3,"3,275",210.395,"1,108,288"
16,ACTIVEFINE,61.5,62.1,60.4,61.3,60.8,0.7,594,27.838,"452,621"
17,AFCAGRO,47.8,49.4,47.6,48,48.4,-0.6,539,20.266,"418,650"
18,AFTABAUTO,47.3,47.9,44.3,47.1,44.2,3.1,437,6.862,"148,773"
19,AGNISYSL,25.6,26,24.4,25.6,24.5,1.1,"1,119",32.635,"1,290,040"
20,AGRANINS,11.6,12.3,11.6,11.9,11.8,-0.2,25,0.196,"16,500"
21,AIBL1STIMF,3.9,4,3.7,3.7,4.1,-0.2,143,1.862,"494,027"
22,AIMS1STMF,23.3,23.3,22,23.3,21.2,2.1,144,5.259,"228,631"
23,AL-HAJTEX,71.7,71.7,65.8,71.7,65.2,6.5,534,8.298,"119,031"
24,ALARABANK,11.1,11.4,10.9,11.1,11,0.1,196,6.21,"555,503"
25,ALLTEX,23.8,24.6,22.9,23.5,23.1,0.7,"1,020",27.812,"1,170,387"
26,AMBEEPHA,298,310,297,300,290.1,7.9,253,6.024,"19,917"
27,AMCL(PRAN),187.3,190,176.6,186.6,184.3,3,59,1.067,"5,710"
28,ANLIMAYARN,16.7,16.8,15.7,16.6,15.6,1.1,95,1.213,"73,568"
29,ANWARGALV,37.1,38.1,37,37.3,37.3,-0.2,207,3.29,"88,085"
30,APEXFOODS,89,91.9,88.1,90.4,88.6,0.4,37,0.654,"7,255"
31,APEXFOOT,347.9,364,341.2,346,352.3,-4.4,37,2,"5,760"
32,APEXSPINN,66.2,68.4,65.7,66.4,65.6,0.6,190,3.331,"49,537"
33,APEXTANRY,93.2,95,90,91.4,89.6,3.6,159,1.911,"20,655"
34,APOLOISPAT,13.6,13.6,12.3,13.5,12.4,1.2,940,14.326,"1,081,732"
35,ARAMIT,246.9,248.3,236.8,246.9,232.6,14.3,140,1.48,"6,075"
36,ARAMITCEM,23.9,23.9,22,23.9,21.8,2.1,132,1.198,"50,813"
37,ARGONDENIM,22.9,23.7,22.5,22.8,22.4,0.5,119,2.21,"96,825"
38,ASIAINS,14.5,14.5,14,14.4,13.7,0.8,22,0.199,"13,832"
39,ASIAPACINS,13.1,13.1,12.8,12.9,12.5,0.6,29,0.196,"15,240"
40,ATCSLGF,5.8,5.8,5.6,5.8,5.7,0.1,29,0.151,"26,200"
41,ATLASBANG,88.8,89,85.1,88.9,86.8,2,119,1.746,"19,681"
42,AZIZPIPES,16.5,16.5,15.9,16.4,15.9,0.6,4,0.039,"2,405"
43,BANGAS,320,320.5,313,317.5,313.1,6.9,667,13.31,"42,049"
44,BANKASIA,13.2,13.5,13.1,13.4,13.1,0.1,29,0.359,"26,717"
45,BARKAPOWER,31.4,31.6,30.8,31.4,30.9,0.5,"1,076",60.193,"1,925,551"
46,BATASHOE,"1,183","1,183","1,172","1,174.50","1,164.60",18.4,31,0.83,706
47,BATBC,"2,963.80","3,030","2,963.80","2,974","3,039.80",-76,147,2.121,711
48,BAYLEASING,21.3,21.5,19.9,20.9,20,1.3,124,2.221,"107,879"
49,BBS,39.8,41.2,38.3,39.7,38.5,1.3,760,27.348,"688,966"
50,BDAUTOCA,16.1,16.2,16,16.2,17,-0.9,4,0.016,"1,020"
51,BDCOM,24.6,25.5,24.6,24.8,24.7,-0.1,185,2.913,"116,400"
52,BDFINANCE,9.8,10,9.3,9.8,9.3,0.5,368,6.336,"652,114"
53,BDLAMPS,104,107.6,103.6,105.2,104.7,-0.7,221,3.224,"30,685"
54,BDSERVICE,0,0,0,6.3,6.3,--,0,0,0
55,BDTHAI,35,35.8,33,35,32.6,2.4,"1,172",47.413,"1,350,673"
56,BDWELDING,15.3,15.4,15,15.2,14.6,0.7,46,0.628,"41,484"
57,BEACHHATCH,16.3,16.7,15.4,16.3,15.3,1,326,4.313,"265,322"
58,BEACONPHAR,13.4,13.6,13.4,13.5,13.6,-0.2,61,0.934,"69,120"
59,BENGALWTL,51,54,50,51,49.7,1.3,249,3.699,"72,692"
60,BERGERPBL,"1,502","1,519.90","1,500","1,505.80","1,502.10",-0.1,33,0.765,507
61,BEXIMCO,25.4,25.7,24.7,25.2,24.8,0.6,"1,827",55.217,"2,192,753"
62,BGIC,12.4,12.6,12,12.5,11.7,0.7,70,0.518,"41,791"
63,BIFC,10.4,10.4,9.4,10.4,9.5,0.9,215,3.807,"372,477"
64,BRACBANK,32.9,33,32.3,32.7,32.8,0.1,90,4.493,"138,028"
65,BSC,314,314,303.6,310.5,305,9,664,6.057,"19,608"
66,BSCCL,113.6,114.7,110.3,112.8,110.8,2.8,"1,402",37.175,"329,465"
67,BSRMLTD,53.3,53.3,47.9,53.3,48.5,4.8,"2,872",64.859,"1,283,322"
68,BSRMSTEEL,58.2,60.5,55,58.2,55,3.2,682,28.43,"491,249"
69,BXPHARMA,44.4,45.5,44.1,44.6,44.3,0.1,508,21.46,"479,656"
70,BXSYNTH,7.5,7.8,7.5,7.6,7.7,-0.2,49,0.332,"43,777"
71,CENTRALINS,21.2,21.3,20.2,20.5,20.2,1,11,0.102,"4,964"
72,CENTRALPHL,21.8,21.8,20.2,21.4,20.9,0.9,721,18.273,"868,293"
73,CITYBANK,17.2,17.6,16.9,17.3,16.9,0.3,363,18.984,"1,108,116"
74,CITYGENINS,10.8,10.8,10.3,10.6,10.4,0.4,120,1.91,"180,245"
75,CMCKAMAL,14,14,13.2,13.9,13.3,0.7,314,4.826,"353,474"
76,CNATEX,17.7,17.8,17.1,17.5,17,0.7,562,17.7,"1,019,893"
77,CONFIDCEM,75,75.1,71,74.3,70.9,4.1,377,4.947,"67,842"
78,CONTININS,12.1,12.2,11.2,12.1,11.1,1,97,0.825,"68,961"
79,CVOPRL,361,367.9,354.6,359.7,354.3,6.7,"1,297",32.115,"89,223"
80,DACCADYE,10.3,10.7,10,10.2,9.8,0.5,158,1.682,"163,141"
81,DAFODILCOM,10.7,10.7,10.4,10.5,10.3,0.4,20,0.085,"8,106"
82,DBH,72.9,73.2,72.5,73,72.6,0.3,36,0.932,"12,789"
